sire dam progeny value trait
1	1	1	58	fec
1	1	1	4.6	mass
1	1	2	64	fec
1	1	2	4	mass
1	1	3	50	fec
1	1	3	4.1	mass
1	1	4	53	fec
1	1	4	4.2	mass
1	1	5	50	fec
1	1	5	4	mass
1	2	1	54	fec
1	2	1	4.7	mass
1	2	2	85	fec
1	2	2	5.7	mass
1	2	3	48	fec
1	2	3	3.6	mass
1	2	4	55	fec
1	2	4	4.9	mass
1	2	5	48	fec
1	2	5	3.3	mass
1	3	1	51	fec
1	3	1	5.1	mass
1	3	2	76	fec
1	3	2	5.2	mass
1	3	3	58	fec
1	3	3	5.6	mass
1	3	4	48	fec
1	3	4	3.6	mass
1	3	5	55	fec
1	3	5	3.5	mass
1	4	1	28	fec
1	4	1	5.1	mass
1	4	2	44	fec
1	4	2	5.6	mass
1	4	3	21	fec
1	4	3	4.3	mass
1	4	4	31	fec
1	4	4	4.4	mass
1	4	5	17	fec
1	4	5	4.2	mass
1	5	1	44	fec
1	5	1	4.1	mass
1	5	2	51	fec
1	5	2	4.4	mass
1	5	3	27	fec
1	5	3	4.1	mass
1	5	4	42	fec
1	5	4	3.5	mass
1	5	5	40	fec
1	5	5	3.7	mass
2	1	1	62	fec
2	1	1	4.7	mass
2	1	2	52	fec
2	1	2	4.3	mass
2	1	3	66	fec
2	1	3	5.2	mass
2	1	4	56	fec
2	1	4	4.6	mass
2	1	5	37	fec
2	1	5	3	mass
2	2	1	59	fec
2	2	1	4.5	mass
2	2	2	52	fec
2	2	2	4.7	mass
2	2	3	62	fec
2	2	3	4.9	mass
2	2	4	56	fec
2	2	4	4.2	mass
2	2	5	58	fec
2	2	5	5.5	mass
2	3	1	48	fec
2	3	1	5.3	mass
2	3	2	63	fec
2	3	2	5.7	mass
2	3	3	21	fec
2	3	3	4.2	mass
2	3	4	60	fec
2	3	4	4.4	mass
2	3	5	50	fec
2	3	5	3.9	mass
2	4	1	38	fec
2	4	1	4.4	mass
2	4	2	56	fec
2	4	2	4.3	mass
2	4	3	33	fec
2	4	3	4.8	mass
2	4	4	22	fec
2	4	4	4.5	mass
2	4	5	68	fec
2	4	5	4.9	mass
3	1	1	70	fec
3	1	1	5.5	mass
3	1	2	36	fec
3	1	2	4.1	mass
3	1	3	64	fec
3	1	3	4.9	mass
3	1	4	46	fec
3	1	4	4.8	mass
3	1	5	31	fec
3	1	5	4.2	mass
3	2	1	43	fec
3	2	1	5.7	mass
3	2	2	17	fec
3	2	2	5.2	mass
3	2	3	23	fec
3	2	3	4.9	mass
3	2	4	76	fec
3	2	4	5.6	mass
3	2	5	12	fec
3	2	5	4.7	mass
3	3	1	18	fec
3	3	1	4.1	mass
3	3	2	9	fec
3	3	2	4.9	mass
3	3	3	18	fec
3	3	3	3.8	mass
3	3	4	53	fec
3	3	4	4.2	mass
3	3	5	43	fec
3	3	5	4.5	mass
3	4	1	53	fec
3	4	1	4	mass
3	4	2	57	fec
3	4	2	5.1	mass
3	4	3	60	fec
3	4	3	4.2	mass
3	4	4	50	fec
3	4	4	5.1	mass
3	4	5	62	fec
3	4	5	5	mass
3	5	1	83	fec
3	5	1	6.4	mass
3	5	2	22	fec
3	5	2	4.8	mass
3	5	3	22	fec
3	5	3	5.3	mass
3	5	4	71	fec
3	5	4	4.6	mass
3	5	5	71	fec
3	5	5	5.3	mass
4	1	1	70	fec
4	1	1	4.8	mass
4	1	2	66	fec
4	1	2	5.5	mass
4	1	3	64	fec
4	1	3	5.1	mass
4	1	4	43	fec
4	1	4	3.9	mass
4	1	5	46	fec
4	1	5	3.5	mass
4	2	1	34	fec
4	2	1	4.3	mass
4	2	2	16	fec
4	2	2	4.6	mass
4	2	3	14	fec
4	2	3	4.3	mass
4	2	4	19	fec
4	2	4	4.1	mass
4	2	5	17	fec
4	2	5	4.5	mass
4	3	1	46	fec
4	3	1	5.3	mass
4	3	2	62	fec
4	3	2	5.4	mass
4	3	3	72	fec
4	3	3	5.4	mass
4	3	4	54	fec
4	3	4	5.1	mass
4	3	5	55	fec
4	3	5	4.9	mass
4	4	1	52	fec
4	4	1	4.3	mass
4	4	2	61	fec
4	4	2	4.6	mass
4	4	3	57	fec
4	4	3	4.2	mass
4	4	4	71	fec
4	4	4	4.9	mass
4	4	5	52	fec
4	4	5	4.6	mass
4	5	1	51	fec
4	5	1	4	mass
4	5	2	45	fec
4	5	2	4.1	mass
4	5	3	51	fec
4	5	3	4.5	mass
4	5	4	44	fec
4	5	4	4.6	mass
4	5	5	44	fec
4	5	5	4	mass
5	1	1	75	fec
5	1	1	5.1	mass
5	1	2	62	fec
5	1	2	5.4	mass
5	1	3	60	fec
5	1	3	5.2	mass
5	1	4	64	fec
5	1	4	4.8	mass
5	1	5	64	fec
5	1	5	5.1	mass
5	2	1	92	fec
5	2	1	5.6	mass
5	2	2	88	fec
5	2	2	5.5	mass
5	2	3	67	fec
5	2	3	5.5	mass
5	2	4	72	fec
5	2	4	5.5	mass
5	2	5	77	fec
5	2	5	5.4	mass
5	3	1	85	fec
5	3	1	5.7	mass
5	3	2	64	fec
5	3	2	4.9	mass
5	3	3	48	fec
5	3	3	4.5	mass
5	3	4	50	fec
5	3	4	4.1	mass
5	3	5	59	fec
5	3	5	5.1	mass
5	4	1	93	fec
5	4	1	5.1	mass
5	4	2	47	fec
5	4	2	4.7	mass
5	4	3	58	fec
5	4	3	4	mass
5	4	4	48	fec
5	4	4	3.8	mass
5	4	5	39	fec
5	4	5	3.6	mass
6	1	1	73	fec
6	1	1	4.1	mass
6	1	2	33	fec
6	1	2	3.3	mass
6	1	3	25	fec
6	1	3	4	mass
6	1	4	53	fec
6	1	4	4	mass
6	1	5	29	fec
6	1	5	3.9	mass
